prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
ControlEffectivenessRecord,ControlEffectivenessRecord,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ComplianceCost,ComplianceCost,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ComplianceException,ComplianceException,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Certification,Certification,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CertAudit,CertAudit,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
RegulatoryChangeDetection,RegulatoryChangeDetection,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
RegulatoryChangeImpact,RegulatoryChangeImpact,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
EvidenceCollectionRule,EvidenceCollectionRule,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ControlTest,ControlTest,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ControlTestResult,ControlTestResult,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SSOConfiguration,SSOConfiguration,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SCIMConfiguration,SCIMConfiguration,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CustomRole,CustomRole,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
RolePermission,RolePermission,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
UserRole,UserRole,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
BrandingConfig,BrandingConfig,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CustomDashboard,CustomDashboard,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
DashboardWidget,DashboardWidget,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ReportTemplate,ReportTemplate,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CICDGatePolicy,CICDGatePolicy,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CICDGateResult,CICDGateResult,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SearchIndex,SearchIndex,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VendorMonitoringCheck,VendorMonitoringCheck,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ISO27001Assessment,ISO27001Assessment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ISO27001SoA,ISO27001SoA,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ISO27001RiskScenario,ISO27001RiskScenario,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ISO27001CorrectiveAction,ISO27001CorrectiveAction,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PHIRecord,PHIRecord,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PHIAccessGrant,PHIAccessGrant,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
BusinessAssociateAgreement,BusinessAssociateAgreement,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
HIPAABreachRiskAssessment,HIPAABreachRiskAssessment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PCIScope,PCIScope,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PCIRequirement,PCIRequirement,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PCIEvidence,PCIEvidence,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
QSAFinding,QSAFinding,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
CompensatingControlWorksheet,CompensatingControlWorksheet,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PCIROC,PCIROC,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
PCIAOC,PCIAOC,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2Engagement,SOC2Engagement,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2Control,SOC2Control,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2EvidenceSample,SOC2EvidenceSample,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2Exception,SOC2Exception,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2CUEC,SOC2CUEC,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
SOC2ManagementAssertion,SOC2ManagementAssertion,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NistCsfProfile,NistCsfProfile,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NistCsfSubcategoryAssessment,NistCsfSubcategoryAssessment,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NistCsfGapAnalysis,NistCsfGapAnalysis,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NistCsfActionItem,NistCsfActionItem,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NPSInvitation,NPSInvitation,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
NPSResponse,NPSResponse,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
