prisma_model,supabase_table,rls_enabled,policy_count,policy_evidence,verdict
ResourceDownload,ResourceDownload,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
UserContribution,UserContribution,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ContributionActivity,ContributionActivity,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ServiceStatus,ServiceStatus,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
StatusHistory,StatusHistory,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
Incident,Incident,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
IncidentUpdate,IncidentUpdate,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
MaintenanceWindow,MaintenanceWindow,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
StatusSubscription,StatusSubscription,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
OnboardingProgress,OnboardingProgress,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
OnboardingEvent,OnboardingEvent,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
OnboardingChecklist,OnboardingChecklist,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
PhishingTraining,PhishingTraining,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
GapAnalysis,GapAnalysis,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RFPResponse,RFPResponse,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DataMap,DataMap,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
BCPPlan,BCPPlan,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
JITAccessRequest,JITAccessRequest,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
JITSession,JITSession,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmAgent,SwarmAgent,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmTask,SwarmTask,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmTaskCheckpoint,SwarmTaskCheckpoint,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
UserSession,UserSession,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
VRParticipant,VRParticipant,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VRChatMessage,VRChatMessage,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VRAnnotation,VRAnnotation,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VRVoiceChatState,VRVoiceChatState,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
VRTrainingProgress,VRTrainingProgress,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
QuestionnaireTemplate,QuestionnaireTemplate,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
PolicyTemplate,PolicyTemplate,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
WebRTCSession,WebRTCSession,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
WebRTCPeer,WebRTCPeer,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
LivenessChallenge,LivenessChallenge,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
LivenessFrame,LivenessFrame,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
LDAPRoleMapping,LDAPRoleMapping,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmTaskMetric,SwarmTaskMetric,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SwarmTaskAlert,SwarmTaskAlert,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
GNNModel,GNNModel,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
GovernanceBody,GovernanceBody,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
GovernanceMeeting,GovernanceMeeting,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
GovernanceDecision,GovernanceDecision,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
EscalationPath,EscalationPath,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
DPOProfile,DPOProfile,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
BreachIncident,BreachIncident,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
BreachNotification,BreachNotification,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
BreachTemplate,BreachTemplate,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RegulatoryContact,RegulatoryContact,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
CEProduct,CEProduct,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
DigitalProductPassport,DigitalProductPassport,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ESGMetric,ESGMetric,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
MaterialityAssessment,MaterialityAssessment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SBOMEntry,SBOMEntry,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SBOMRepository,SBOMRepository,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SurveillancePlan,SurveillancePlan,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
SurveillanceIncident,SurveillanceIncident,live_supabase:rls_enabled=true,0,live_supabase:policy_count=0,RLS_ENABLED_NO_POLICY
ProductRecall,ProductRecall,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ProductDecommission,ProductDecommission,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
LifecycleAssessment,LifecycleAssessment,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ProductLifecycle,ProductLifecycle,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
ProcessMap,ProcessMap,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
RegulationModuleData,RegulationModuleData,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
MetricsHistory,MetricsHistory,live_supabase:rls_enabled=true,4,live_supabase:policy_count=4,RLS_OK
